Year,Length,Title,Subject
1989,99,She-Devil,Comedy
1992,103,Death Becomes Her,Drama
1991,28,Kids & Pesticides,Drama
1970,129,On a Clear Day You Can See Forever,Music
1987,100,Nuts,Drama
1983,134,Yentl,Music
1968,151,Funny Girl,Music
1990,97,Fellow Traveller,Drama
1970,140,Dodesukaden,Drama
1987,,Sicilian,
1941,117,So Ends Our Night,Drama
1984,102,Sword of the Valiant,Action
1949,78,Devil's Wanton,
1989,99,Driving Miss Daisy,Drama
1991,111,Seventh Cross,
1983,105,Between Friends,Drama
1957,173,Raintree County,Drama
1975,101,Driver's Seat,
1967,109,Reflections in a Golden Eye,Drama
1972,110,X,
1968,109,Secret Ceremony,Drama
1963,243,Cleopatra,Drama
1950,,Father of the Bride,Comedy
1992,130,Who's Afraid of Virginia Woolf?,Drama
1977,110,A Little Night Music,Music
1956,201,Giant,Drama
1985,94,Rumor Mill,
1943,90,Lassie Come Home,Drama
1993,76,Return Engagement,Drama
1972,108,Hammersmith Is Out,Drama
1991,60,Super Duper Bloopers,Comedy
1991,,Elizabeth Taylor Collection,
1973,99,Ash Wednesday,Drama
1991,117,Last Time I Saw Paris,
1931,125,Cimarron,Western
1992,83,Apache Woman,Western
1984,,Gary Numan - Berzerker,Music
1988,101,Mystic Pizza,Comedy
1991,95,Dogfight,Action
1935,234,Adventures of Rex & Rinty,
1988,60,Daphnis & Chloe,Music
1980,97,Marathon,Comedy
1948,127,Fort Apache,Western
1937,100,Wee Willie Winkie,Drama
1987,91,Big Shots,Action
1988,85,Doin' Time on Planet Earth,Comedy
1983,91,All the Right Moves,Drama
1987,93,Some Kind of Wonderful,Drama
1990,87,All New Tales from the Crypt,
1985,116,Back to the Future,Comedy
1963,80,Winter Light,Drama
1963,95,Silence,
1959,100,Magician,
1961,154,Four Horsemen of the Apocalypse,
1986,99,Critical Condition,Comedy
1989,88,Center of the Web,Mystery
1990,110,Border Shootout,Action
1989,109,Lean on Me,Drama
1986,221,On Wings of Eagles,Drama
1941,94,Texas,Western
1939,80,Allegheny Uprising,Drama
1940,95,Dark Command,Western
1986,103,Peggy Sue Got Married,Drama
1989,84,Dear America,
1985,130,Prizzi's Honor,Comedy
1983,90,Man with Two Brains,
1984,101,Crimes of Passion,Drama
1985,106,Jewel of the Nile,
1984,106,Romancing the Stone,Action
1988,121,Accidental Tourist,
1955,117,Sea Chase,
1958,98,Another Time,
1988,90,Cannibal Women in the Avocado Jungle of Death,Comedy
1986,91,Mr Love.,Comedy
1968,139,2001: A Space Odyssey,Science Fiction
1966,81,Persona,Drama
1973,,Scenes from a Marriage,Drama
1968,88,Hour of the Wolf,Drama
1969,101,Passion of Anna,
1984,96,Dangerous Moves,Drama
1957,147,Sayonara,Drama
1968,158,Where Eagles Dare,War
1985,95,Teen Wolf,Drama
1990,88,Amazon,Action
1973,,Paper Chase,
1959,88,Virgin Spring,
1970,97,Spider's Stratagem,Drama
1971,102,Play Misty for Me,Mystery
1981,88,Going Ape,Comedy
1967,127,Cool Hand Luke,Drama
1988,89,Phantom of the Ritz,Horror
1990,85,Crash & Burn,Science Fiction
1991,114,After Dark My Sweet,Mystery
1992,121,Christopher Columbus: The Discovery,Adventure
1986,109,Young Sherlock Holmes,Mystery
1991,104,Doc Hollywood,Comedy
1988,96,Baja Oklahoma,Comedy
1986,137,Aliens,Science Fiction
1992,115,Alien Three,Science Fiction
1997,109,Alien: resurrection,Science Fiction
1979,117,Alien,Science Fiction
1985,97,One Woman or Two,Comedy
1984,96,Soggy Bottom U. S. A.,Comedy
1973,96,Bang the Drum Slowly,Drama
1974,82,Catamount Killing,
1972,92,Fuzz,Action
1966,101,Shoot Loud,
1967,107,Bedazzled,Comedy
1977,120,Prince & the Pauper,
1969,110,One Hundred Rifles,Western
1975,90,Wild Party,
1968,106,Bandolero!,Western
1973,119,Last of Sheila,
1972,87,Hannie Caulder,Drama
1990,,Sounds of the Seventies...& the Beat Goes,Music
1988,161,Bird,Drama
1955,60,Meet Millie,Drama
1987,88,Hell Comes to Frogtown,Science Fiction
1966,126,Fortune Cookie,
1990,92,Sun Shines Bright,
1987,106,Squeeze,
1970,91,Start the Revolution Without Me,Comedy
1989,107,Major League,Comedy
1990,108,Bright Lights,
1987,97,Lost Boys,
1989,93,Cookie,Comedy
1974,114,Conversation,
1973,112,American Graffiti,Comedy
1953,96,Dangerous When Wet,Music
1980,111,Stir Crazy,Comedy
1989,91,Young Einstein,Comedy
1956,83,Killing,
1973,102,Cahill,
1989,90,Savage Intruder,
1992,139,Sheltering Sky,
1982,125,An Officer & a Gentleman,Drama
1987,101,Black Widow,Mystery
1986,116,Legal Eagles,Comedy
1970,90,Bloody Mama,Action
1965,106,A Patch of Blue,Drama
1955,109,I Died a Thousand Times,Drama
1977,90,Tentacles,Horror
1968,100,Scalphunters,
1992,96,A Day in October,Drama
1964,102,A Fistful of Dollars,Westerns
1985,94,My Science Project,Comedy
1991,160,Great Race,
1956,119,Searchers,
1979,105,Meteor,Action
1955,111,Rebel Without a Cause,Drama
1961,153,West Side Story,Music
1970,110,Trash,Comedy
1966,95,A Big Hand for the Little Lady,Comedy
1966,104,A Fine Madness,Comedy
1987,134,Glass Menagerie,
1989,117,Harry & Son,Drama
1968,102,Rachel,
1961,98,Paris Blues,Drama
1960,135,Fugitive Kind,
1993,,Mr. & Mrs. Bridge,Drama
1991,144,State of Grace,Drama
1943,108,Shadow of a Doubt,Drama
1950,85,Men,
1950,110,Stage Fright,Mystery
1947,103,Magic Town,Drama
1975,93,That Lucky Touch,Action
1949,90,Lust for Gold,Drama
1987,103,Heat,Mystery
1993,75,Employee's Entrance,Drama
1947,87,Night Is My Future,Drama
1990,92,Witches,
1953,94,Vera Cruz,Action
1954,91,Apache,Western
1977,146,Twilight's Last Gleaming,Drama
1979,119,Frisco Kid,
1954,30,Bank on the Stars,Drama
1987,100,Law of Desire,Drama
1966,103,Quiller Memorandum,
1962,183,Longest Day,
1986,128,Name of the Rose,
1988,92,Bloodsport,Action
1986,85,Torment,Horror
1988,138,Pelle the Conqueror,Drama
1981,118,Taps,Drama
1991,102,Freshman,
1987,164,Last Emperor,
1962,100,Grim Reaper,
1983,90,Le Dernier Combat,Drama
1989,91,Too Beautiful for You,Drama
1991,105,Fire,
1963,113,Heavens Above,Comedy
1961,141,One Eyed Jacks,Western
1937,61,Swing It,
1987,94,Wolf at the Door,
1936,87,Modern Times,Comedy
1991,114,Thunderbolt & Lightfoot,Action
1931,87,A Nous la Liberte,Drama
1979,95,Scum,Action
1984,90,Inside Man,
1979,153,Apocalypse Now,Drama
1990,94,Bellboy & the Playgirls,
1963,81,Terror,
1963,86,Raven,
1975,87,They Came from Within,Horror
1986,97,Boy in Blue,
1991,87,Killer Tomatoes Strike Back,Comedy
1979,87,Attack of the Killer Tomatoes,Comedy
1987,119,Untouchables,
1986,91,Wise Guys,Comedy
1989,90,American Autobahn,Drama
1990,94,Final Alliance,
1984,130,Bounty,
1974,89,Little Prince,
1975,94,Posse,Western
1982,136,Firefox,Action
1987,91,Penitentiary III,Action
1993,,Ginger & Fred,Comedy
1966,107,Wrong Box,
1990,86,Wagonmaster,Western
1945,135,They Were Expendable,War
1991,125,Last Hurrah,
1949,59,Law of the Golden West,Western
1949,60,Pioneer Marshal,Western
1949,60,Ranger of the Cherokee Strip,Western
1950,60,Vanishing Westerner,Western
1948,59,Bandits of Dark Canyon,Western
1948,60,Bold Frontiersman,
1948,59,Wild Frontier,
1968,73,Firemen's Ball,
1983,112,Local Hero,Comedy
1971,104,French Connection,
1985,114,To Live & Die in L. A.,Action
1961,113,Ferry to Hong Kong,Drama
1983,69,Eddie Murphy,
1984,77,Secret Policeman's Private Parts,
1958,83,Up the Creek,Comedy
1982,111,Yol,Drama
1989,150,Sara Dane,Drama
1988,84,Night Tide,Drama
1953,92,His Majesty O'Keefe,Action
1960,122,North to Alaska,Western
1966,76,Flight to Fury,Action
1966,82,Ride in the Whirlwind,Western
1970,93,Powderkeg,Western
1953,95,I Confess,Drama
1935,88,Thirty-Nine Steps,
1969,126,Topaz,Mystery
1930,95,Murder,Mystery
1954,123,Dial M for Murder,Mystery
1937,80,Young & Innocent,Mystery
1976,95,Creature from Black Lake,Horror
1981,124,Chariots of Fire,Drama
1982,81,Monty Python Live at the Hollywood Bowl,Comedy
1975,129,Man Who Would Be King,
1981,117,Victory,Drama
1970,146,Kelly's Heroes,War
1989,109,Next of Kin,Mystery
1990,96,Chattahoochee,Drama
1985,82,Angelic Conversation,
1986,107,Down by Law,Comedy
1984,141,Killing Fields,
1992,85,Survival Zone,Action
1979,94,Monty Python's Life of Brian,Comedy
1983,107,Monty Python's the Meaning of Life,Comedy
1971,121,Red Tent,
1945,82,Dakota,Western
1952,112,Viva Zapata!,Drama
1968,133,Green Berets,
1990,90,Big Bad John,Action
1937,71,Ticket of Leave Man,
1956,106,D-Day,
1974,121,Apprenticeship of Duddy Kravitz,
1971,138,A Clockwork Orange,Science Fiction
1991,117,Full Metal Jacket,War
1943,82,Sanshiro Sugata,Drama
1991,97,Rhapsody in August,Drama
1946,110,No Regrets for Our Youth,Drama
1960,152,Bad Sleep Well,
1951,166,Idiot,
1951,83,Rashomon,Drama
1962,96,Sanjuro,Mystery
1955,200,Seven Samurai,Drama
1957,110,Throne of Blood,Drama
1961,110,Yojimbo,Action
1980,161,Kagemusha,Drama
1952,134,Ikiru,Drama
1987,90,Empire of Spiritual Ninja,Action
1986,90,Ninja,
1926,139,Metropolis,Science Fiction
1946,106,Cloak & Dagger,Mystery
1920,137,Spiders,Drama
1954,90,Human Desire,Drama
1928,130,Spies,Drama
1933,120,Testament of Dr. Mabuse,
1991,95,Fury,Drama
1990,129,Mo' Better Blues,Drama
1989,30,Matt Talbot,Drama
1989,55,Will Rogers,
1991,130,For a Few Dollars More,Westerns
1944,139,Thirty Seconds over Tokyo,War
1982,93,Class of 1984,Drama
1974,109,Juggernaut,Action
1987,120,Good Morning,
1945,94,Blood on the Sun,Drama
1969,161,Paint Your Wagon,Music
1964,105,Ensign Pulver,Comedy
1976,92,Street People,Action
1984,83,Manhunt,
1987,85,Operation Nam,War
1944,100,Fighting Seabees,
1988,75,Let It Rock,Drama
1978,90,Eraserhead,Horror
1955,87,Ladykillers,
1957,97,Sweet Smell of Success,Drama
1971,88,And Now for Something Completely Different,Comedy
1984,92,Crackers,Action
1991,89,Green Glove,Drama
1970,89,Menace on the Mountain,Action
1940,90,In Old California,Western
1967,85,Thirty Is a Dangerous Age,
1980,99,Ffolkes,Action
1970,111,Chisum,Western
1990,135,Hunt for Red October,
1966,123,Closely Watched Trains,Drama
1973,91,Executive Action,Drama
1942,101,Flying Tigers,Action
1991,87,Father's Little Dividend,Comedy
1982,92,An Evening with Robin Williams,Comedy
1987,90,Eddie Murphy Raw,Comedy
1989,118,Harlem Nights,Comedy
1973,93,Santee,Western
1987,90,Good Father,
1971,115,Sometimes a Great Notion,Drama
1970,117,Catch Twenty-Two,Comedy
1988,90,Dark Age,Action
1981,94,Deadline,Mystery
1935,60,Mysterious Mr. Wong,Mystery
1988,92,A Month in the Country,Drama
1990,97,Prom Night III,
1990,,Blood in,
1989,94,Wrong Arm of the Law,
1987,116,Orphans,Drama
1976,139,All the President's Men,Drama
1987,73,J-Men Forever,Action
1969,144,Wild Bunch,
1988,92,Judgement in Berlin,Drama
1993,,Hot Line,
1988,100,Rocket Gibraltar,Drama
1975,112,Yakuza,
1972,116,Jeremiah Johnson,Drama
1970,112,Burn!,Drama
1973,122,Magnum Force,Action
1989,86,Cyborg,Action
1979,108,Prisoner of Zenda,
1983,86,Scream,Horror
1986,140,Assault,
1951,102,Flying Leathernecks,Action
1985,92,What Comes Around,Drama
1980,123,Mon Oncle D'Amerique,Comedy
1972,92,Culpepper Cattle Company,
1983,102,Survivors,
1984,96,Roadhouse Sixty-Six,Action
1991,60,Burning Poles,
1987,98,Russkies,Action
1990,96,My Blue Heaven,Comedy
1990,103,Altered States,Science Fiction
1972,128,Cowboys,
1985,95,Code Name,
1970,170,Patton,War
1969,123,Midnight Cowboy,Drama
1985,131,Falcon & the Snowman,
1976,112,Maitresse,Drama
1987,86,Disorderlies,Comedy
1991,,Raging Bull,Drama
1991,60,Garrison Keillor's Home,Comedy
1938,55,Overland Stage Raiders,Western
1938,55,Pals of the Saddle,Western
1982,92,Alone in the Dark,Horror
1971,109,Beguiled,
1979,112,Escape from Alcatraz,Drama
1948,88,Criss Cross,Drama
1976,132,Midway,War
1990,126,Indiana Jones & the Last Crusade,Action
1993,90,Duel,Mystery
1991,193,Separate but Equal,Drama
1924,123,Gosta Berling's Saga,Drama
1986,120,Platoon,Drama
1963,89,Crawling Hand,
1971,100,Willy Wonka & the Chocolate Factory,Music
1971,88,Joe Kidd,Western
1985,104,Santa Claus,
1938,96,Boys Town,Drama
1990,59,Erasure,
1982,150,A Question of Honor,Drama
1947,61,Check Your Guns,Western
1947,56,West to Glory,Western
1937,60,Throwback,
1992,54,Border Feud,Action
1947,58,Fighting Vigilantes,
1947,53,Law of the Lash,Western
1949,66,Outlaw Country,Western
1992,53,Return of the Lash,Action
1937,60,Mystery of the Hooded Horsemen,Western
1937,60,Tex Rides with the Boy Scouts,Western
1949,59,Shadows of the West,Western
1991,102,Instant Karma,Comedy
1957,73,Time Lock,Drama
1953,79,Appointment in Honduras,Drama
1982,136,Danton,Drama
1960,164,Alamo,
1986,91,La Chevre,
1985,109,Les Comperes,Comedy
1990,128,Dead Poets Society,Drama
1952,93,Othello,
1949,119,Battleground,
1976,176,Kings of the Road (In the Course of Time),Drama
1990,98,Hiroshima,Drama
1982,111,Return of Martin Guerre,
1956,97,Somebody up There Likes Me,Drama
1955,57,Jack Benny Show,Comedy
1962,182,Mutiny on the Bounty,Action
1989,,Death Valley Days,
1986,60,Monty Python's Flying Circus,Comedy
1986,60,Monty Python's Flying Circus,
1986,59,Monty Python's Flying Circus,
1986,58,Monty Python's Flying Circus,
1990,,Valkenvania,Comedy
1982,101,Secret Policeman's Other Ball,
1981,127,Taming of the Shrew,
1964,,From Russia with Love,Action
1993,108,Offence,
1992,60,Hollywood Mavericks,Comedy
1990,60,Live at Harrah's,Comedy
1992,52,Persuaders,
1977,255,Nineteen Hundred,Drama
1989,90,Van,
1972,15,My Country Right or Wrong,War
1991,,Clint Eastwood Collection,
1991,,Complete Dirty Harry,
1992,92,Dead Pool,
1992,163,Good,
1959,60,Rawhide,
1992,118,Tightrope,Mystery
1987,95,Hearts of Fire,Drama
1992,165,How the West Was Won,Western
1992,,Mummy's Hand,
1993,88,Great White Death,Action
1986,119,Mosquito Coast,
1993,102,Today We Kill....Tomorrow We Die,Western
1991,,Tormenta Sobre Arizona,Drama
1989,116,Back to the Future II,Comedy
1959,60,Maverick,
1983,,Shakespeare Series,Drama
1973,105,Deadly Trackers,Western
1992,72,American Film Institute,
1990,,A Married Man,Drama
1982,208,Othello,Drama
1975,85,Only Way Home,
1953,120,Tales of Tomorrow,Horror
1991,128,Inherit the Wind,Drama
1990,45,This Is Horror,Horror
1992,112,Conversation Piece,Drama
1992,105,Crimson Pirate,
1992,83,Devil's Disciple,
1992,166,Hallelujah Trail,
1992,133,Train,
1986,49,Jay Leno: The American Dream,Comedy
1990,92,Primal Rage,Mystery
1990,50,Industrial Symphony,
1986,52,Howie Mandel's North American Watusi Tour,Comedy
1989,90,Branford Marsalis,
1991,98,L. A. Story,Comedy
1986,60,Steve Martin Live!,Comedy
1974,60,Steve Martin,
1993,,Runaway Barge,
1992,101,Romulus & the Sabines,Action
1989,,Saint,
1983,91,Strange Brew,Comedy
1990,98,Another Forty-Eight Hours,Action
1989,,Best of Eddie Murphy,
1991,99,What about Bob?,Comedy
1953,91,Mummy's Revenge,
1992,121,Harper,Mystery
1992,102,Left Handed Gun,
1989,,Once upon a Wheel,Action
1992,136,Prize,
1968,,Secret War of Harry Frigg,
1990,,Two Jakes,
1989,61,Exile in Concert,Music
1987,60,Joe Piscopo New Jersey Special,Comedy
1991,60,Joe Piscopo Video,
1989,,Death Valley Days,
1988,96,Salsa: The Motion Picture,Drama
1991,80,Hollywood's Greatest War Movies,War
1991,91,Out for Justice,Action
1956,27,Case of the Mukkinese Battle Horn,
1953,75,Goon Show Movie,
1975,95,Great McGonagall,
1991,101,I'm All Right Jack,Comedy
1991,101,Magic Christian,
1960,91,Never Let Go,Action
1991,121,Pink Panther,
1991,84,Two-Way Stretch,Comedy
1988,65,Face at the Window,
1958,92,Tom Thumb,Science Fiction
1989,90,Beartooth,Action
1979,90,James Taylor in Concert,Music
1942,253,Gangbusters,Drama
1992,,El Rublo de las Dos Caras,Action
1992,87,Law & Jake Wade,
1967,105,Chuka,Western
1980,93,Cry of the Innocent,Drama
1991,108,Edison the Man,Drama
1991,101,Keeper of the Flame,Drama
1991,92,Spencer Tracy Legacy,
1957,60,Cheyenne,
1992,56,Dawn Rider,
1993,,Duke,
1939,55,Frontier Horizon,Western
1934,54,Hell Town,Western
1932,,Hurricane Express,Western
1932,210,Hurricane Express,
1965,165,In Harm's Way,War
1991,,John Wayne Collection,
1992,,John Wayne Collector's Limited Edition,War
1991,,John Wayne Four Pack,Western
1939,112,John Wayne Matinee Double Feature,
1939,110,John Wayne Matinee Double Feature,
1938,110,John Wayne Matinee Double Feature,
1990,,John Wayne Six Pack,Western
1991,,John Wayne Western Greats,
1991,56,King of the Pecos,Western
1992,59,Lawless Frontier,Western
1991,52,Lawless Frontier,
1991,56,Lawless Nineties,
1934,54,Lucky Texan,Western
1992,112,McQ,Action
1993,,Neath Arizona Skies,Western
1991,54,Neath the Arizona Skies,Western
1991,53,Randy Rides Alone,Western
1993,58,Range Feud,Western
1992,134,Red River,Western
1991,52,Riders of Destiny,Western
1990,,Sagebrush Trail,Western
1932,226,Shadow of the Eagle,
1989,103,Blood & Guns,Action
1988,78,Hot Money,Drama
1977,75,Comedy Tonight,Comedy
1991,65,Robin Williams,Comedy
2002,2000,LOTR Trilogy,Action